,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
1765,1765,1765,2239,2239,آغاسلطان,"روزبه
",,-1.0,12,کارشناسی,"مهندسی کشتی
",19,"نانوا  
",1
1766,1766,1766,2240,2240,آغاعصمت,"سحابی
",شهرک غرب . فازیک - خ. مهستان - ک. ششم,1.0,25,دکترا,"0
",17,"مهندس پلیمر  
",1
1767,1767,1767,2242,2242,افاق,"رحماندوست
",انتهای صیاد شیرازی شمال بالاتر از اتوبان بابایی قبل از دوربرگردون ایستگاه اتوبوس,-1.0,15,لیسانس,"شیمی
",24,"پلیس 
",5
1768,1768,1768,2243,2243,افاقه,"اوستا
",خ شریعتی مترو قیطریه بلوار صبا خ شهید حسینی ک ارغوان بن بست سپیده,1.0,24,-1,"مهندسی کشاورزی
",20,"مهندسی کامپیوتر
",4
1769,1769,1769,2244,2244,افتخارالسادات,"هوشیار
",شهرری . خ هلال احمر . کوچه تقی پورمنفرد  . کوچه محمدی .,1.0,24,کاردانی,"هوش‌بری
",18,"مسئول وصول مطالبات
",0
1770,1770,1770,2245,2245,افتخارسادات,"هاشمی
",خیابان شهید سرتی,2.0,13,لیسانس,"کارشناسی چندرسانه‌ای
",51,"زنبوردار
",23
1771,1771,1771,2246,2246,آفر,"آهنگری 
",سهروردی خ شهید قندی سر کوچه 12,0.0,12,کارشناسی ارشد,"مهندسی کشاورزی
",22,"ماموران تهیه و تدارک
",8
1772,1772,1772,2247,2247,افراح,"تابش
",خ فدائیان اسلام .,0.0,22,دکترا,"تکنولوژی تولیدات دامی
",49,"نجاری
",0
1773,1773,1773,2248,2248,افروزسادات,"امین‌زاده
",هنگام ک فتح ابادی,0.0,19,کاردانی,"مطالعات خانواده
",46,"صندوقدار  
",20
1774,1774,1774,2249,2249,افسرالسادات,"زالی
",عبدل اباد خ لقمان جنوبی ک شهید میرزائی جنب,2.0,25,0,"جنگل‌داری
",26,"0
",13
1775,1775,1775,2250,2250,افسرالملوك,"جنتی
",میدان اختیاریه خ زرنگ کوچه ابهری,0.0,12,دیپلم,"مددکاری اجتماعی
",25,"مهندس پلیمر  
",11
1776,1776,1776,2251,2251,افشان,"مشا
",یوسف اباد خ هفتم . نبش ابن سینا .,1.0,16,دیپلم,"معماری داخلی
",55,"کارگر ساده  
",9
1777,1777,1777,2252,2252,افضله,"دیباج
",حسن اباد خ حافظ اول زیر گذر سمت راست,2.0,23,سیکل,"مددکاری اجتماعی
",27,"حسابدار و کمک حسابدار 
",4
1778,1778,1778,2254,2254,آقارحيم,"انوشه
",شهر ری . جوانمرد قصاب . خ اختری . ک شهسواری-,2.0,23,لیسانس,"-1
",34,"کارشناس بازاریابی 
",10
1779,1779,1779,2255,2255,آقاعلي,"سیف‌زاده
",شهرری شهرک علایین خ کیانوشی,-1.0,21,فوق دکترا,"راهنمایی و مشاوره
",26,,8
1780,1780,1780,2256,2256,اقباله,"اصلانی
",تهران نو.خیابان خاقانی. خیابان مهر آور. مابین 12/34 و 12/35,0.0,15,دکترا,"تکنولوژی مرتع و آبخیزداری
",24,"مسئول بایگانی
",5
1781,1781,1781,2257,2257,اقدس السادات,"شبستری
",خ شریعتی - زیر پل سید خندان - خ شقاقی - کوچه طوطی و ارشاد,-1.0,21,0,"علوم ارتباطات اجتماعی
",22,"راننده  
",7
1782,1782,1782,2258,2258,اقدس بانو,"انوری
",سهروردی -خ خلیل حسینی نرسیده به  چهار راه کیهان,-1.0,22,فوق لیسانس,"زبان و ادبیات عربی
",24,"حسابدار و کمک حسابدار 
",5
1783,1783,1783,2259,2259,اقدس سادات,"صباغ
",یادگار - شمال به جنوب - زیر پل نیایش,2.0,17,کاردانی,"شیلات
",39,"منشی دادگاه
",12
1784,1784,1784,2260,2260,اقدسه,"عبدالملکی
",,-1.0,17,لیسانس,"مهندسی مکانیک نیروگاه
",52,"تکنسین اتاق عمل 
",4
1785,1785,1785,2261,2261,اقليما,"عاشوری
",دولت اباد-خ شهید مرادی-اپارتمانها ی گروه 101-جلوی,1.0,15,دیپلم,"علوم اقتصادی
",22,"-1
",6
1786,1786,1786,2262,2262,اقليمه,"دهقان
",میدان هفت تیر -ابتدا ک  مشهدی,0.0,18,-1,"ریاضیات و کاربردها
",19,"موزه داران
",0
1787,1787,1787,2263,2263,آلاءسادات,"شریف
",تهرانپارس خ 196 بین خ 135 و 137کوچه 204,0.0,14,سیکل,"علوم و صنایع غذایی
",24,"مسئول دفتر
",3
1788,1788,1788,2264,2264,الارا,"گلپایگانی
",کن خ شهید علیپور - ک شهید علیپور -بن بست های یک و دوم,-1.0,25,فوق لیسانس,"حقوق
",47,"عکاس 
",3
1789,1789,1789,2265,2265,الاهه,"پناهیان
",شمران نو خ. شهید ریوندی سر کوچه 15,1.0,25,0,"مهندسی اپتیک و لیزر
",24,"بازرسان مالی
",8
1790,1790,1790,2266,2266,البرز,"شفا
",شریعتی . بعد از پارک شریعتی . نبش سروستان یکم ( طلوع تهرانی ) . پیاده رو,2.0,12,فوق لیسانس,"باستان‌شناسی
",37,,10
1791,1791,1791,2268,2268,الطفات,"خاموشی
",جمهوری شیخ هادی نبش بن بست  بهنام,0.0,23,ندارد,"آرگونومی
",29,"مسئول دفتر
",1
1792,1792,1792,2270,2270,الله رحم,"مرتضوی
",جاده مخصوص- شهرک دانشگاه علوم پزشکی تهران- فاز دو,-1.0,20,لیسانس,"بهره‌برداری گیاهان دارویی
",48,"جراح زیبایی  
",1
1793,1793,1793,2273,2273,اللهه,"پناهنده
",شهر ری بلوار شهدای ایرانیت,-1.0,14,لیسانس,"آرگونومی
",31,"ویزیتور
",12
1794,1794,1794,2274,2274,اللهيار,"عالی
",خیابان عمار -خیابان صالحی,-1.0,15,لیسانس,"مهندسی فضای سبز
",25,"گزارشگر
",11
1795,1795,1795,2275,2275,آلما,"پناهنده
",,-1.0,24,لیسانس,"تکنسین پروتزهای دندانی
",28,"کارشناس بازاریابی 
",9
1796,1796,1796,2276,2276,النازالسادات,"عبدالملکی
",شهر ری - خ غیوری - ک شهرستانی -,1.0,14,کاردانی,"-1
",36,"اپراتور لوکوموتیو
",6
1797,1797,1797,2277,2277,اله كرم,"مظفر
",شهر ری میدان فرمانداری خ کمیل,-1.0,17,دکترا,"علوم تربیتی
",33,,5
1798,1798,1798,2278,2278,اله مراد,"گلپایگانی
",اتوبان نیایش -بعد از اتوبان ستاری - خ شقایق - کوچه چهارم,1.0,17,فوق دکترا,"زمین‌شناسی
",31,"معلم 
",1
1799,1799,1799,2279,2279,اله يار,"لاجوردی
",پونک - اشرفی اصفهانی - نبش کوچه سوم داروخانه دکتر مکملان,0.0,25,دکترا,"0
",54,"کتابداران
",12
1800,1800,1800,2280,2280,الهام سادات,"خوئینی
",شهرک ولیعصر خ حیدری جنوبی خ طالقانی م ایثارگران میلان سوم,2.0,12,کارشناسی ارشد,"کاردان فنی معدن
",21,"مهندس عمران  
",10
1801,1801,1801,2281,2281,الهمراد,"صدیقی
",شهرک شادآباد  17شهریور جنوبی  15متری دوم جنوبی نبش رستوران فلافلی,-1.0,13,لیسانس,"مهندسی کامپیوتر
",46,"اپراتور لوکوموتیو
",14
1802,1802,1802,2282,2282,الهيار,"انتظامی
",ولیعصر بلوار کشاورز نبش خ معظم,2.0,25,دیپلم,"تفسیر قرآن مجید
",45,"استاد دانشگاه
",7
1803,1803,1803,2283,2283,اليانا,"کیانی
",خ حقانی خ شهیدی کوچه ژوبین,0.0,24,فوق دیپلم,"مرمت آثار تاریخی
",22,,7
1804,1804,1804,2284,2284,اليزا,"پیران
",شیراز جنوبی . تقاطع خیابان 64 غربی .,-1.0,25,دیپلم,"تکنولوژی تولیدات دامی
",19,"بنّا
",0
1805,1805,1805,2285,2285,ام البني,"صدیقی
",رسالت . 20 متری کرمانی جنوبی . ک اردستانی .پارک گلچین,0.0,18,ندارد,"مهندسی اپتیک و لیزر
",40,"گزارشگر
",2
1806,1806,1806,2286,2286,ام البنين السادات,"محجوبی
",ظفر سعید افشار ارش شرقی  نور بهشت غربی,0.0,24,دیپلم,"زبان انگلیسی
",18,"قاضی 
",4
1807,1807,1807,2287,2287,ام البنين سادات,"خوئینی
",عبدل اباد . لقمان جنوبی . خ رازی . کوچه امام نژاد .,1.0,16,دکترا,"فوریت‌های پزشکی
",38,"قاضی 
",17
1808,1808,1808,2290,2290,ام الهدي,"شریعتی
",خ آذربایجان - جمالزاده جنوبی -,0.0,21,فوق دکترا,,51,"مکانیک  
",1
1809,1809,1809,2291,2291,ام حاني,"ابوذر
",میدان امامت .,1.0,21,دکترا,"رادیولوژی
",20,"0
",10
1810,1810,1810,2292,2292,ام هاني,"شیخ‌الاسلامی
",یافت آباد خیابان - میدان  پژوتن -خ بابایی  - ک یگانه -,1.0,13,ندارد,"پرورش زنبور عسل
",46,"مسئول مکاتبات
",9
1811,1811,1811,2293,2293,امامقلي,"جمادی
",شهرک ولیعصر . 20 متری وحدت . نبش خ صنعت,-1.0,23,کارشناسی,"مهندسی معماری
",15,"پرورش دهنده ماهی
",3
1812,1812,1812,2294,2294,امامه,"لاهوتی
",انتهای اشرفی اصفهانی شهرک نفت ک 5,-1.0,23,کارشناسی,"علوم اجتماعی
",30,"0
",4
1813,1813,1813,2297,2297,امرعلي,"ابوذر
",یافت اباد . ابراهیم اباد . خ برادران . کوچه قدس,1.0,15,دکترا,"مهندسی منابع طبیعی
",49,"کارشناس بازاریابی 
",7
1814,1814,1814,2298,2298,امنه,"شهیدی
",نرسیده به 4راه سرچشمه ک صیرفی پور,0.0,24,کارشناسی ارشد,"مهندسی نفت
",28,"نویسنده  
",11
1815,1815,1815,2299,2299,آمنه خواتون,"مددی
",خ کارگر شمالی  . خ  پنجم . بین,0.0,18,-1,"بهره‌برداری گیاهان دارویی
",20,"گویندگان
",4
1816,1816,1816,2300,2300,امنيت,"شاهی
",جنت اباد شمالی چهار راه ایران پارس ( بهارستان 8 ),-1.0,15,0,"علوم کامپیوتر
",19,"کشاورز 
",4
1817,1817,1817,2301,2301,امه ليلا,"زین‌الدین
",بلوار دهکده المپیک خ زیبا دشت خ علی زاده خ بوستان یکم,1.0,18,کارشناسی ارشد,"-1
",42,"پژوهشگر
",8
1818,1818,1818,2302,2302,امه ليلان,"خوئینی‌ها
",,-1.0,19,کارشناسی,,19,"صندوقدار  
",3
1819,1819,1819,2303,2303,اميراتابك,"شجاعی
",خیابان مطهری خیابان فجر,2.0,12,-1,"-1
",18,"بنّا
",3
1820,1820,1820,2304,2304,اميراحسان,"مستوفی
",میدان انقلاب - درب غربی مترو,0.0,14,سیکل,"کاردان فنی عمران
",32,"ارزیابی و تحلیلگری مالی
",1
1821,1821,1821,2307,2307,اميرالدين,"جمادی
",میدان المپیک  - شهرک صدرا -,2.0,25,کارشناسی ارشد,"-1
",50,,10
1822,1822,1822,2308,2308,اميرالله,"داودی
",مدرس جنوب به شمال - نرسیده به میر داماد,1.0,16,ندارد,"مرمت آثار تاریخی
",51,,20
1823,1823,1823,2310,2310,اميرپاشا,"دانایی‌فرد
",سعادت - 31 غربی,2.0,23,کارشناسی ارشد,"کاردان فنی عمران
",26,"طراح لباس
",9
1824,1824,1824,2311,2311,اميرپويا,"شریعتی
",نواب - خ جوانمرد - ممتازی -,-1.0,22,کاردانی,"زبان و ادبیات فارسی
",26,"مهندس صنایع غذایی
",6
1825,1825,1825,2312,2312,اميرزاده,"زمردیان
",چیتگر شمالی خ جهاد قدس11 زیر پل و داخل جوی,-1.0,18,کارشناسی,"تکنولوژی تولیدات دامی
",17,"معلم 
",1
1826,1826,1826,2313,2313,اميرستار,"سرمد
",بلوار فردوس غرب . چهارراه شقایق,1.0,20,کارشناسی,"مهندسی فضای سبز
",52,,12
1827,1827,1827,2314,2314,اميرسعيد,"اشکوری
",خیابان آفریقا - خیابان تور,0.0,19,دکترا,,55,"نقاش  
",6
1828,1828,1828,2315,2315,اميرسينا,"شریعتمداری
",خ نبردجنوبی-کوچه مرادپور-,0.0,25,کارشناسی,"بهره‌برداری گیاهان دارویی
",42,"دام دار
",20
1829,1829,1829,2316,2316,اميرشهاب,"خاتمی
",خ شریعتی ابتدای ظفر دست چپ,0.0,17,کارشناسی ارشد,"مطالعات خانواده
",51,"کارشناس مرکز تماس  
",19
1830,1830,1830,2317,2317,اميرصادق,"شریعتمداری
",,1.0,18,0,"علوم و صنایع غذایی
",36,"مهندس معدن 
",6
1831,1831,1831,2318,2318,اميرفاضل,"اعتماد
",اسکندری جنوبی -نرسیده به خ ازادی-کوچه خلیلی,-1.0,12,0,"دبیری زبان و ادبیات عربی
",23,"معلم 
",10
1832,1832,1832,2319,2319,اميرفخرالدين,"معروف
",فلاح . خ اقاجانی .ک  ارنگ,2.0,17,-1,"کاردان فنی معدن
",42,,17
1833,1833,1833,2320,2320,اميركيان,"دیباج
",میدان دریان نو,-1.0,24,کارشناسی ارشد,"مدیریت و کمیسر دریایی
",54,"معلم 
",8
1834,1834,1834,2321,2321,اميرمتين,"عالی
",تهران ویلا - خیابان 16 -,2.0,13,دکترا,"مهندسی کشتی
",28,"تحلیلگر و مفسر اخبار
",12
1835,1835,1835,2322,2322,اميرمصطفي,"لوکس
",خ وحدت اسلامی خ مختاری شرقی انتهای کچه مرتضی کاظمی سمت چ,1.0,24,لیسانس,"کاردان فنی عمران
",40,"-1
",20
1836,1836,1836,2323,2323,اميرهادي,"پارسا
",شهرری خ رجایی سراه ترانسفر شهرک فرهنگیان خ فرهنگ,0.0,12,دیپلم,"مهندسی نساجی
",43,"عکاس 
",2
1837,1837,1837,2324,2324,اميرهمايون,"عراقی
",شهرری میدان مادر خیابان شهید غیبی خ خزایی خ محمود زاده-,-1.0,21,دکترا,,29,"-1
",8
1838,1838,1838,2326,2326,اميرياسين,"خاموشی
",خیابان مطهری . خیابان فجر . خیابان غفاری . کوچه لاجوردی .,0.0,14,کارشناسی,"مهندسی چوب
",31,"نانوا  
",9
1839,1839,1839,2328,2328,امين الله,"شیرازی
",سیدخندان  ابتدای جلفا  خ نیلگون ابتدای پارک جوان,2.0,12,فوق دکترا,"اعضای مصنوعی
",55,"مهندس پلیمر  
",4
1840,1840,1840,2329,2329,امين عبدالغفار,"خداپناهی
",پل رومی اکبری بنبست چهار باغ انتهای خیابان سمت راست,1.0,25,دکترا,"رشته‌های علوم انسانی
",50,"نویسنده  
",2
1841,1841,1841,2330,2330,امين مهدي,"خوئینی‌ها
",خ سهروردی خ خرمشهر نبش مهتاب,0.0,23,سیکل,"تاریخ
",17,"ماهیگیر
",3
1842,1842,1842,2332,2332,آنا,"راسخ
",,-1.0,22,کارشناسی ارشد,"مهندسی پزشکی
",31,"دام دار
",6
1843,1843,1843,2333,2333,انبياء,"حجتی
",تهران پارس فلکه چهارم خ توحید ک 19 شرقی,-1.0,25,دکترا,"مهندسی بهداشت محیط
",55,"صندوقدار  
",10
1844,1844,1844,2334,2334,آنسه,"اعتماد
",خ اسکندری جنوبی.نرسیده به نوش ابادی.,0.0,16,سیکل,"-1
",42,"استاد دانشگاه
",10
1845,1845,1845,2335,2335,انسي,"حجتی
",خانی آباد خ میثاق شمالی نبش ک 25,0.0,25,کارشناسی,"فیزیک مهندسی
",40,"نویسنده  
",6
1846,1846,1846,2336,2336,انسيه خانم,"خوئینی
",اتوبان محلاتی غرب به شرق  اولین پل عابر,2.0,24,سیکل,"فیزیوتراپی
",24,"کارمند اداری  
",2
1847,1847,1847,2337,2337,انسيه سادات,"رحمانیان
",ولیعصر. بالاتراز میدان ولیعصرک پزشک پور,2.0,19,کارشناسی ارشد,"سینما
",54,"ویزیتور
",21
1848,1848,1848,2338,2338,انعام,"حجتی
",خ رجایی خ قدس شرقی,0.0,25,فوق دکترا,"مهندسی کامپیوتر
",36,"بازیگر  
",13
1849,1849,1849,2339,2339,انعام الله,"زارع
",بوستان نیاوران. ضلع شمالی .,1.0,22,فوق لیسانس,"ادبیات داستانی
",45,"مهندس پلیمر  
",9
1850,1850,1850,2340,2340,آنوشا,"شاه‌حسینی
",خ خاوران خ خوب بخت .  ک شهید رضوی,-1.0,24,فوق لیسانس,"مدیریت - بازرگانی دریایی
",29,"پرورش دهنده ماهی
",9
1851,1851,1851,2341,2341,انيس اغا,"خمسه
",خیابان ستارخان کوثر دوم کوچه کمالی . بن بست نسرین .,0.0,19,دکترا,"علوم کامپیوتر
",46,"کارشناس بازرگانی داخلی و خارجی
",0
1852,1852,1852,2342,2342,انيسا,"حقیقی
",میدان کلانتری-خ کرمان-خ محبی-,2.0,22,لیسانس,"فیزیک
",47,"کارشناس محیط زیست 
",20
1853,1853,1853,2343,2343,آنيسا,"مطهری
",خیابان مرتضوی نرسیده به کارون کوچه خسروی,0.0,12,دیپلم,,28,"ارزیابی و تحلیلگری مالی
",0
1854,1854,1854,2344,2344,انيسه السادات,"پایدار
",خیابان قزوین خیابان مرادی خیابان اسکندری کوچه سر زعیم نبش کوچه میر حیدری15,1.0,16,فوق لیسانس,"علوم حدیث
",48,,8
1855,1855,1855,2345,2345,آهوجان,"شاملو
",خیابان امین الملک. خیابان فریدون احمدی . خیابان یکتا ثانی.,2.0,21,-1,,50,"-1
",16
1856,1856,1856,2346,2346,اورانوس,"محمدی
",فردوس غرب - شقایق میانی  نرسیده به حکیم  - ک  10,-1.0,17,کارشناسی,"چاپ
",39,,8
1857,1857,1857,2347,2347,اورينب,"ادب 
",,2.0,25,-1,"مدیریت و کمیسر دریایی
",52,"کارشناس امنیت اطلاعات  
",18
1858,1858,1858,2348,2348,اولدوز,"راسخ
",خ درکه میدان شهریاری - خ درکه - انتهای گاردریل ها,1.0,19,کارشناسی,"گفتاردرمانی
",16,"-1
",3
1859,1859,1859,2349,2349,اولياء,"پناهی
",درب جنوبی مترو سرسبز-,0.0,15,کارشناسی ارشد,,22,"مسئول وصول مطالبات
",0
1860,1860,1860,2350,2350,اويس,"پایور
",خانی آباد- شقایق -,-1.0,14,0,"مرمت آثار تاریخی
",38,"کارشناس دادگستری
",16
1861,1861,1861,2351,2351,آي تك,"منوچهری
",تهرانپارس - فلکه 4 -نبش  خ مظفری - نبش خ 222 یا باقر زاده -,-1.0,12,فوق دیپلم,"مدیریت جهان‌گردی
",46,"کارگردان
",16
1862,1862,1862,2353,2353,ايت اله,"عزیزی
",تهرانسر . بلوار یاس . خ فجر . نرسیده به گلستان دوم .,-1.0,24,0,"شنوایی‌شناسی
",19,"نقاش  
",3
1863,1863,1863,2354,2354,ايثار,"آهنگری 
",سعادت آباد – بلوار فرحزادی – 18 متری مطهری – نبش کوچه بنفشه,-1.0,16,فوق لیسانس,"مهندسی اپتیک و لیزر
",44,"کارشناس حقوقی
",0
1864,1864,1864,2355,2355,آيداالسادات,"شریف
",جنت آباد - 35 متری گلستان - 16 متری دوم شمالی - نبش دهم شرقی - نبش دهم مخابرات شرقی  زیر پل,2.0,21,سیکل,"ترویج و آموزش کشاورزی
",34,"منشی دادگاه
",6
1865,1865,1865,2357,2357,ايلناز,"موسویان
",نبرد شمالی نرسیده به میدان نبرد,-1.0,20,کارشناسی ارشد,"بهره‌برداری گیاهان دارویی
",51,"دادیار
",6
1866,1866,1866,2358,2358,ايليار,"شاملو
",شهرک ولی عصر - میدان ایثار گران - 12 متری طالقانی - خ نامدار - شقایق یک -,-1.0,13,دیپلم,"امور گمرکی
",27,"عکاس 
",8
1867,1867,1867,2360,2360,ايمانه,"مهدی‌پور
",تهرانپارس خ 196 غربی .بلوار اردیبهشت.کوچه دویست یا  ک شهید کراری,1.0,15,فوق دکترا,"کارشناسی بهداشت عمومی
",55,,22
1868,1868,1868,2361,2361,آيه,"رسولی
",خ اکباتان- کوچه نفیسی,1.0,17,دکترا,"مهندسی بهداشت حرفه‌ای
",18,"دندان پزشک  
",2
1869,1869,1869,2362,2362,آئين,"آیتی
",,-1.0,18,دکترا,"علوم آزمایشگاهی دام‌پزشکی
",32,"منشی دادگاه
",0
1870,1870,1870,2363,2363,باب علي,"شرع‌پسند
",ولنجک بلوار دانشجو خیابان 26 . البرز یکم,-1.0,14,دیپلم,"باستان‌شناسی
",44,"ویزیتور
",22
1871,1871,1871,2364,2364,باباخان,"صدر
",پاسداران. نبش بوستان5.,-1.0,23,0,"مهندسی شهرسازی
",54,"کارشناس سخت افزار  
",14
1872,1872,1872,2366,2366,باج گل,"دستغیب
",محلاتی مخبر شمالی  - ک خطیبی نیا -,-1.0,21,کارشناسی ارشد,"پرورش کودکان پیش‌دبستانی
",41,"پلیس 
",11
1873,1873,1873,2367,2367,باربد,"ادب 
",انتهای 17 شهریور - قبل از میدان امام حسین (ع) - انتهای صفا غربی - کوچه شهید بلوری -,2.0,21,فوق دکترا,"علوم حدیث
",46,"-1
",15
1874,1874,1874,2368,2368,بازعلي,"معروف
",شهران . خ طالقانی . کوچه محمدی . کوچه مهسا,2.0,25,سیکل,"علوم کامپیوتر
",36,"آهنگساز
",7
1875,1875,1875,2371,2371,باغداگل,"عراقی
",مرزداران - سپهر 7 - ملک در  حال ساخت,1.0,15,-1,"-1
",40,"مدیر مالی  
",13
1876,1876,1876,2372,2372,بالا,"موسویان
",قدوسی- تقاطع گوهری- ابنما-,-1.0,19,لیسانس,,19,"کارشناس سخت افزار  
",1
1877,1877,1877,2373,2373,بانو,"اوستا
",خیابان 12 فروردین  پایین تراز خیابان آذربایجان  کوچه یاعلی,0.0,18,کارشناسی,"علوم اقتصادی
",40,,13
1878,1878,1878,2374,2374,بانونساء,"پناهنده
",پاسداران - میدان فرخی یزدی - یکم غربی -,-1.0,16,دکترا,"مهندسی برق
",37,"راننده  
",10
1879,1879,1879,2375,2375,بايرامعلي,"میرباقری
",خیابان اجاره دار- از پلیس تا چهارراه شیخان,2.0,18,ندارد,"علوم و صنایع غذایی
",17,"پیک موتوری  
",3
1880,1880,1880,2376,2376,بدرالدين,"عصار
",خانی آبادنو- خ میعاد- کوچه 40 -,0.0,16,دیپلم,"تربیت بدنی
",49,"0
",10
1881,1881,1881,2378,2378,بدري سادات,"صفوی
",,0.0,18,فوق دیپلم,"علوم اجتماعی
",22,"کارشناس بازرگانی داخلی و خارجی
",11
1882,1882,1882,2379,2379,بدل,"پناهیان
",خ شهسوار. کوچه ناصر جدی پور,0.0,20,ندارد,"رادیولوژی
",32,"مهندس راه آهن 
",5
1883,1883,1883,2380,2380,بدي الله,"محمدرضایی
",شهرک ولی عصر . خ حیدری . ک عادل,2.0,14,دیپلم,"دبیری زبان و ادبیات عربی
",40,"جراح زیبایی  
",15
1884,1884,1884,2381,2381,بدير,"رجایی
",ازادی . خ لعل اخر .,-1.0,20,فوق لیسانس,"زیست‌شناسی
",21,"پرستار  
",5
1885,1885,1885,2382,2382,بديره,"شرع‌پسند
",سعادت اباد خ میرزای,-1.0,24,کارشناسی ارشد,"مدیریت هتل‌داری
",37,"خلبان 
",8
1886,1886,1886,2383,2383,بديع الله,"مجتبوی
",تهرانپارس - خ استقلال - شهرک امید - فاز تجاری -,1.0,25,فوق دکترا,"الهیات و معارف اسلامی
",41,"حسابدار و کمک حسابدار 
",3
1887,1887,1887,2384,2384,بديع اله,"میرزاده
",مهرآباد جنوبی - خ شمشیری - خ رعنایی,-1.0,15,کاردانی,"مهندسی منابع طبیعی
",30,"دندان پزشک  
",2
1888,1888,1888,2385,2385,برات محمد,"درگاهی
",بلوار فردوس غرب .,2.0,18,کارشناسی,"مهندسی اپتیک و لیزر
",41,"صندوقدار  
",5
1889,1889,1889,2386,2386,برزان,"زین‌الدین
",هلال احمر - رازی -تفنگ چیان -وسط کوچه,2.0,17,فوق دکترا,"مهندسی ایمنی
",23,"0
",4
1890,1890,1890,2387,2387,برزو,"خوئینی‌ها
",م سلمان فارسی ک گل افشاری,1.0,20,سیکل,"رادیولوژی
",26,"بازرسان مالی
",11
1891,1891,1891,2388,2388,برساد,"مفتاح
",سردار جنگل خ پنج تن نشاط خ نشاط 1.,2.0,25,-1,"بهداشت مواد غذایی
",52,"مهندسی کامپیوتر
",24
1892,1892,1892,2389,2389,برسام,"پایدار
",انتهای بلوار ارتش کوی لاله کوچه چهارم غربی ( مابین کوچه چهارم غربی و پرستو ),-1.0,22,دیپلم,"مهندسی مکانیک نیروگاه
",17,"خبرنگار  
",1
1893,1893,1893,2390,2390,بزرگ,"ذاکری
",فداییان- شهر ری- نبش امیری تا کوچه درختی,1.0,12,کارشناسی,,50,"مسئول وصول مطالبات
",5
1894,1894,1894,2391,2391,بساط,"گل محمدی
",جهان ارا خ 35,0.0,16,-1,"علوم اجتماعی
",36,"کشاورز 
",6
1895,1895,1895,2392,2392,بسته گل,"دری
",فرشته - تختی - نبش دوم -,2.0,19,کاردانی,"مطالعات خانواده
",25,,8
1896,1896,1896,2394,2394,بسيج خانم,"خوئینی‌ها
",انتهای اتابک. نرسیده به ذوالفقاری.نرسیده به اتوبان بعثت.,-1.0,25,سیکل,"اقیانوس‌شناسی
",19,"آهنگساز
",0
1897,1897,1897,2395,2395,بشارت خانم,"خیابانی
",استاد معین - 21 متری جی - کوچه نصیر زاده - کوچه اسماعیلی - جلوی,1.0,14,سیکل,"مهندسی برق
",55,"کارشناس روابط عمومی  
",10
1898,1898,1898,2397,2397,بصير,"کوشکی
",وحدت اسلامی بازارچه قوام الدوله ک دولت ابادی,1.0,23,دیپلم,,19,,3
1899,1899,1899,2399,2399,بگم,"شریفیان
",شمیران نو کوچه دهم غربی,0.0,25,فوق لیسانس,"امور گمرکی
",25,"-1
",3
1900,1900,1900,2400,2400,بلبل,"مهاجرانی
",خیابان  آزادی- خیابان خوش جنوبی -نرسیده به کلهر-نبش  کوچه فطرت,2.0,18,دیپلم,"مدیریت
",37,"مهندس پزشکی  
",1
1901,1901,1901,2401,2401,بلور,"راوندی
",خیابان خاوران بعد از فرهنگسرای خاوران,-1.0,12,0,"آرگونومی
",32,"کارشناس امنیت اطلاعات  
",8
1902,1902,1902,2404,2404,بمان اله,"شیروانی
",خاک سفید خیابان زهدی,2.0,17,دکترا,"حقوق
",51,"کارگردان
",23
1903,1903,1903,2405,2405,بمان خانم,"ابریشمی
",ولنجک خ 19شرقی,2.0,20,دیپلم,"دبیری شیمی
",20,"آهنگساز
",4
1904,1904,1904,2406,2406,بمان سلطان,"خرم‌آبادی
",کوی نصر نبش ک 36,2.0,14,فوق دکترا,,32,"فروشنده  
",16
1905,1905,1905,2407,2407,بمانا,"پیران
",شاد اباد . خ 17 شهریور . خ 15 متری دوم شمالی . ابتدای ک باجنان .,0.0,15,0,"ادبیات داستانی
",49,"کارشناس روابط عمومی  
",20
1906,1906,1906,2408,2408,بماناد,"ابریشمی
",کریم خان زند - حد فاصل - میدان هفت تیر و پل کریمخان - ضلع شمال -,2.0,22,0,"حقوق
",51,,22
1907,1907,1907,2410,2410,بنيه,"اوستا
",خ شریعتی نرسیده به سه راه طالقانی خ طاهریان   آمل,0.0,16,دیپلم,"مدارک پزشکی
",48,"پلیس 
",23
1908,1908,1908,2411,2411,بهارك,"خوئینی‌ها
",,-1.0,13,دیپلم,"سینما
",15,"مهندس مکانیک
",0
1909,1909,1909,2413,2413,بهتام,"سروش
",میدان شهید حسن تهرانی نبش علی اکبری خیابان 12,0.0,25,دکترا,"هوش‌بری
",38,"مربی مهد کودک  
",17
1910,1910,1910,2414,2414,بهجت دخت,"شاهی
",سبلا ن شما لی 10 متری شهید سر گرد حسنی 8 متری امیر نوروزی 8 متری علی پور,1.0,24,فوق دکترا,"امور گمرکی
",31,"کارشناس امنیت اطلاعات  
",9
